Epoch 0:  loss = 5.5713,  acc = 0.7642,  val_loss = 4.3782,  val_acc = 0.8007 
Epoch 1:  loss = 3.4086,  acc = 0.8920,  val_loss = 2.9782,  val_acc = 0.8082 
Epoch 2:  loss = 2.2266,  acc = 0.9366,  val_loss = 2.2216,  val_acc = 0.7963 
Epoch 3:  loss = 1.5404,  acc = 0.9547,  val_loss = 1.7613,  val_acc = 0.7898 
Epoch 4:  loss = 1.1394,  acc = 0.9650,  val_loss = 1.4907,  val_acc = 0.7901 
Epoch 5:  loss = 0.8941,  acc = 0.9712,  val_loss = 1.3633,  val_acc = 0.7751 
Epoch 6:  loss = 0.7552,  acc = 0.9745,  val_loss = 1.2746,  val_acc = 0.7741 
Epoch 7:  loss = 0.6866,  acc = 0.9742,  val_loss = 1.1692,  val_acc = 0.7929 
Epoch 8:  loss = 0.6311,  acc = 0.9796,  val_loss = 1.2530,  val_acc = 0.7690 
Epoch 9:  loss = 0.6091,  acc = 0.9781,  val_loss = 1.1635,  val_acc = 0.7858 
Epoch 10:  loss = 0.5841,  acc = 0.9828,  val_loss = 1.2223,  val_acc = 0.7682 
Epoch 11:  loss = 0.5893,  acc = 0.9784,  val_loss = 1.3029,  val_acc = 0.7475 
Epoch 12:  loss = 0.5857,  acc = 0.9805,  val_loss = 1.1414,  val_acc = 0.7887 
Epoch 13:  loss = 0.5572,  acc = 0.9864,  val_loss = 1.3884,  val_acc = 0.7281 
Epoch 14:  loss = 0.5709,  acc = 0.9796,  val_loss = 1.2639,  val_acc = 0.7550 
Epoch 15:  loss = 0.5745,  acc = 0.9809,  val_loss = 1.5327,  val_acc = 0.7022 
Epoch 16:  loss = 0.5621,  acc = 0.9836,  val_loss = 1.7253,  val_acc = 0.6589 
Epoch 17:  loss = 0.5688,  acc = 0.9817,  val_loss = 1.1960,  val_acc = 0.7815 
Epoch 18:  loss = 0.5521,  acc = 0.9846,  val_loss = 1.0976,  val_acc = 0.7933 
Epoch 19:  loss = 0.5398,  acc = 0.9858,  val_loss = 1.2154,  val_acc = 0.7665 
Epoch 20:  loss = 0.5686,  acc = 0.9788,  val_loss = 1.4300,  val_acc = 0.7362 
Epoch 21:  loss = 0.5728,  acc = 0.9811,  val_loss = 1.2674,  val_acc = 0.7557 
Epoch 22:  loss = 0.5472,  acc = 0.9876,  val_loss = 1.2234,  val_acc = 0.7650 
Epoch 23:  loss = 0.5281,  acc = 0.9879,  val_loss = 1.1793,  val_acc = 0.7701 
Epoch 24:  loss = 0.5630,  acc = 0.9792,  val_loss = 1.3019,  val_acc = 0.7451 
Epoch 25:  loss = 0.5816,  acc = 0.9783,  val_loss = 1.3356,  val_acc = 0.7415 
Epoch 26:  loss = 0.5524,  acc = 0.9872,  val_loss = 1.0861,  val_acc = 0.8046 
Epoch 27:  loss = 0.5185,  acc = 0.9894,  val_loss = 1.1195,  val_acc = 0.7855 
Epoch 28:  loss = 0.5648,  acc = 0.9775,  val_loss = 1.1812,  val_acc = 0.7768 
Epoch 29:  loss = 0.5770,  acc = 0.9799,  val_loss = 1.2100,  val_acc = 0.7653 
Epoch 30:  loss = 0.5157,  acc = 0.9960,  val_loss = 0.9553,  val_acc = 0.8406 
Epoch 31:  loss = 0.4689,  acc = 0.9999,  val_loss = 0.9292,  val_acc = 0.8415 
Epoch 32:  loss = 0.4442,  acc = 1.0000,  val_loss = 0.9057,  val_acc = 0.8454 
Epoch 33:  loss = 0.4249,  acc = 1.0000,  val_loss = 0.8890,  val_acc = 0.8454 
Epoch 34:  loss = 0.4079,  acc = 1.0000,  val_loss = 0.8739,  val_acc = 0.8471 
Epoch 35:  loss = 0.3931,  acc = 1.0000,  val_loss = 0.8605,  val_acc = 0.8462 
Epoch 36:  loss = 0.3803,  acc = 1.0000,  val_loss = 0.8508,  val_acc = 0.8460 
Epoch 37:  loss = 0.3692,  acc = 1.0000,  val_loss = 0.8464,  val_acc = 0.8443 
Epoch 38:  loss = 0.3588,  acc = 1.0000,  val_loss = 0.8376,  val_acc = 0.8452 
Epoch 39:  loss = 0.3499,  acc = 1.0000,  val_loss = 0.8293,  val_acc = 0.8464 
Epoch 40:  loss = 0.3427,  acc = 1.0000,  val_loss = 0.8226,  val_acc = 0.8463 
Epoch 41:  loss = 0.3358,  acc = 1.0000,  val_loss = 0.8179,  val_acc = 0.8441 
Epoch 42:  loss = 0.3298,  acc = 1.0000,  val_loss = 0.8132,  val_acc = 0.8450 
Epoch 43:  loss = 0.3244,  acc = 1.0000,  val_loss = 0.8111,  val_acc = 0.8455 
Epoch 44:  loss = 0.3194,  acc = 1.0000,  val_loss = 0.8054,  val_acc = 0.8470 
Epoch 45:  loss = 0.3156,  acc = 1.0000,  val_loss = 0.8054,  val_acc = 0.8428 
Epoch 46:  loss = 0.3119,  acc = 1.0000,  val_loss = 0.8038,  val_acc = 0.8463 
Epoch 47:  loss = 0.3091,  acc = 1.0000,  val_loss = 0.8064,  val_acc = 0.8439 
Epoch 48:  loss = 0.3065,  acc = 1.0000,  val_loss = 0.8206,  val_acc = 0.8406 
Epoch 49:  loss = 0.3049,  acc = 1.0000,  val_loss = 0.7991,  val_acc = 0.8443 
Epoch 50:  loss = 0.3029,  acc = 1.0000,  val_loss = 0.8022,  val_acc = 0.8441 
Epoch 51:  loss = 0.3011,  acc = 1.0000,  val_loss = 0.7983,  val_acc = 0.8425 
Epoch 52:  loss = 0.2996,  acc = 1.0000,  val_loss = 0.7996,  val_acc = 0.8467 
Epoch 53:  loss = 0.2987,  acc = 1.0000,  val_loss = 0.7971,  val_acc = 0.8462 
Epoch 54:  loss = 0.2974,  acc = 1.0000,  val_loss = 0.7956,  val_acc = 0.8436 
Epoch 55:  loss = 0.2969,  acc = 1.0000,  val_loss = 0.7959,  val_acc = 0.8428 
Epoch 56:  loss = 0.2963,  acc = 1.0000,  val_loss = 0.8121,  val_acc = 0.8402 
Epoch 57:  loss = 0.2961,  acc = 1.0000,  val_loss = 0.8262,  val_acc = 0.8351 
Epoch 58:  loss = 0.2959,  acc = 1.0000,  val_loss = 0.8104,  val_acc = 0.8368 
Epoch 59:  loss = 0.2946,  acc = 1.0000,  val_loss = 0.8075,  val_acc = 0.8416 
Epoch 60:  loss = 0.2919,  acc = 1.0000,  val_loss = 0.7908,  val_acc = 0.8447 
Epoch 61:  loss = 0.2908,  acc = 1.0000,  val_loss = 0.7903,  val_acc = 0.8460 
Epoch 62:  loss = 0.2901,  acc = 1.0000,  val_loss = 0.7877,  val_acc = 0.8458 
Epoch 63:  loss = 0.2903,  acc = 1.0000,  val_loss = 0.7898,  val_acc = 0.8429 
Epoch 64:  loss = 0.2897,  acc = 1.0000,  val_loss = 0.7922,  val_acc = 0.8436 
