Epoch 0:  loss = 7.2851,  acc = 0.5268,  val_loss = 6.8572,  val_acc = 0.6200 
Epoch 1:  loss = 6.5447,  acc = 0.6736,  val_loss = 6.4218,  val_acc = 0.6535 
Epoch 2:  loss = 6.0751,  acc = 0.7345,  val_loss = 6.0491,  val_acc = 0.6753 
Epoch 3:  loss = 5.6668,  acc = 0.7783,  val_loss = 5.7335,  val_acc = 0.6876 
Epoch 4:  loss = 5.2960,  acc = 0.8164,  val_loss = 5.4449,  val_acc = 0.6949 
Epoch 5:  loss = 4.9553,  acc = 0.8516,  val_loss = 5.1862,  val_acc = 0.6993 
Epoch 6:  loss = 4.6376,  acc = 0.8830,  val_loss = 4.9433,  val_acc = 0.6983 
Epoch 7:  loss = 4.3460,  acc = 0.9104,  val_loss = 4.7204,  val_acc = 0.7040 
Epoch 8:  loss = 4.0717,  acc = 0.9341,  val_loss = 4.5155,  val_acc = 0.7039 
Epoch 9:  loss = 3.8206,  acc = 0.9546,  val_loss = 4.3372,  val_acc = 0.7000 
Epoch 10:  loss = 3.5843,  acc = 0.9709,  val_loss = 4.1690,  val_acc = 0.6929 
Epoch 11:  loss = 3.3693,  acc = 0.9812,  val_loss = 3.9874,  val_acc = 0.6942 
Epoch 12:  loss = 3.1691,  acc = 0.9888,  val_loss = 3.8316,  val_acc = 0.6975 
Epoch 13:  loss = 2.9856,  acc = 0.9937,  val_loss = 3.6900,  val_acc = 0.6930 
Epoch 14:  loss = 2.8144,  acc = 0.9963,  val_loss = 3.5436,  val_acc = 0.6950 
Epoch 15:  loss = 2.6549,  acc = 0.9981,  val_loss = 3.4144,  val_acc = 0.6911 
Epoch 16:  loss = 2.5082,  acc = 0.9990,  val_loss = 3.2845,  val_acc = 0.6924 
Epoch 17:  loss = 2.3714,  acc = 0.9992,  val_loss = 3.1685,  val_acc = 0.6933 
Epoch 18:  loss = 2.2407,  acc = 0.9998,  val_loss = 3.0468,  val_acc = 0.6919 
Epoch 19:  loss = 2.1213,  acc = 0.9998,  val_loss = 2.9420,  val_acc = 0.6958 
Epoch 20:  loss = 2.0083,  acc = 0.9999,  val_loss = 2.8382,  val_acc = 0.6925 
Epoch 21:  loss = 1.9024,  acc = 0.9999,  val_loss = 2.7492,  val_acc = 0.6880 
Epoch 22:  loss = 1.8029,  acc = 0.9998,  val_loss = 2.6657,  val_acc = 0.6885 
Epoch 23:  loss = 1.7089,  acc = 1.0000,  val_loss = 2.5746,  val_acc = 0.6877 
Epoch 24:  loss = 1.6218,  acc = 0.9999,  val_loss = 2.4924,  val_acc = 0.6894 
Epoch 25:  loss = 1.5385,  acc = 1.0000,  val_loss = 2.4194,  val_acc = 0.6878 
Epoch 26:  loss = 1.4607,  acc = 1.0000,  val_loss = 2.3586,  val_acc = 0.6845 
Epoch 27:  loss = 1.3883,  acc = 1.0000,  val_loss = 2.2763,  val_acc = 0.6872 
Epoch 28:  loss = 1.3198,  acc = 1.0000,  val_loss = 2.2306,  val_acc = 0.6810 
Epoch 29:  loss = 1.2554,  acc = 1.0000,  val_loss = 2.1524,  val_acc = 0.6860 
Epoch 30:  loss = 1.2105,  acc = 1.0000,  val_loss = 2.1318,  val_acc = 0.6904 
Epoch 31:  loss = 1.1961,  acc = 1.0000,  val_loss = 2.1208,  val_acc = 0.6874 
Epoch 32:  loss = 1.1837,  acc = 1.0000,  val_loss = 2.1072,  val_acc = 0.6892 
Epoch 33:  loss = 1.1716,  acc = 1.0000,  val_loss = 2.0983,  val_acc = 0.6878 
Epoch 34:  loss = 1.1600,  acc = 1.0000,  val_loss = 2.0873,  val_acc = 0.6883 
Epoch 35:  loss = 1.1487,  acc = 1.0000,  val_loss = 2.0791,  val_acc = 0.6872 
